Informe resumido;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creaci�n : 27/12/2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Empresa;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Apple Inc;AAPL;2021/25/09;83360;2021/26/06;81434;2021/27/03;89584;2020/26/12;111439;42.65;40.27;7.91;24.14;-;https://es.investing.com/equities/apple-computer-inc
Microsoft Corporation;MSFT;2021/30/09;45317;2021/30/06;46152;2021/31/03;41706;2020/31/12;43076;27.94;13.95;14.26;29.76;-;https://es.investing.com/equities/microsoft-corp
Alphabet Inc Class C;GOOG;2021/30/09;65118;2021/30/06;61880;2021/31/03;55314;2020/31/12;56898;26.32;24.8;8.16;8.61;-;https://es.investing.com/equities/google-inc-c
Alphabet Inc Class A;GOOGL;2021/30/09;65118;2021/30/06;61880;2021/31/03;55314;2020/31/12;56898;26.32;24.8;8.16;8.61;-;https://es.investing.com/equities/google-inc
Amazon.com Inc;AMZN;2021/30/09;110812;2021/30/06;113080;2021/31/03;108518;2020/31/12;125555;11.96;10.7;3.79;5.99;-;https://es.investing.com/equities/amazon-com-inc
Tesla Inc;TSLA;2021/30/09;13757;2021/30/06;11958;2021/31/03;10389;2020/31/12;10744;10.39;5.24;22.87;5.548;Vender;https://es.investing.com/equities/tesla-motors
Meta Platforms Inc;FB;2021/30/09;29010;2021/30/06;29077;2021/31/03;26171;2020/31/12;28072;28.16;24.8;8.3;8.61;-;https://es.investing.com/equities/facebook-inc
NVIDIA Corporation;NVDA;2021/31/10;7103;8/1/2021;6507;5/2/2021;5661;2021/31/01;5003;27.25;23.26;30.53;14.6;Vender;https://es.investing.com/equities/nvidia-corp
Broadcom Mandatory Conv Pref;AVGOP;2021/31/10;7407;8/1/2021;6778;5/2/2021;6610;2021/31/01;6655;9.7;22.85;10;13.67;-;https://es.investing.com/equities/broadcom-mandatory-conv-pref
Berkshire Hathaway Inc Class A;BRKa;2021/30/09;70583;2021/30/06;69114;2021/31/03;64599;2020/31/12;64381;10.97;10.64;2.45;24.54;-;https://es.investing.com/equities/berkshire-hathaway-inc
Taiwan Semiconductor Manufacturing;TSM;2021/30/09;414670.38;2021/30/06;372145.12;2021/31/03;362410.23;2020/31/12;361533.06;24.3;22.85;10.37;13.67;-;https://es.investing.com/equities/taiwan-semicond.manufacturing-co
Tencent Holdings Ltd ADR;TCEHY;2021/30/09;142368;2021/30/06;138259;2021/31/03;135303;2020/31/12;133669;18.6;17.49;6.57;6.12;-;https://es.investing.com/equities/tencent-holdings-pk
UnitedHealth Group Incorporated;UNH;2021/30/09;72337;2021/30/06;71321;2021/31/03;70196;2020/31/12;65467;undefined;undefined;1.67;1.67;-;https://es.investing.com/equities/united-health-group
